year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.68
2001,1082,197,885,81.79
2002,1012,162,850,83.99
2003,1088,192,896,82.35
2004,1087,196,891,81.97
2005,1038,168,870,83.82
2006,1069,173,896,83.82
2007,1058,140,918,86.77
2008,1061,139,922,86.90
2009,1094,146,948,86.65
2010,1050,119,931,88.67
2011,1057,107,950,89.88
2012,1059,103,956,90.27
2013,1042,90,952,91.36
2014,1014,83,931,91.81
2015,1011,72,939,92.88
2016,1076,63,1013,94.14
2017,1043,53,990,94.92
2018,1090,45,1045,95.87
2019,1038,46,992,95.57
2020,967,25,942,97.41
